TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,SEASON,MEASURE_TYPE
1610612752,NYK,New York Knicks,81,50,31,18642.0,882,501,378,0.568,2003,0.44,58,0.453,7.6,2580,708,1860,0.274,4229,0.61,398,0.673,6.4,3462,1209,2238,0.349,6081,0.569,456,0.615,6.7,2024-25,Rebounding
1610612760,OKC,Oklahoma City Thunder,82,68,14,18891.0,871,453,416,0.52,2201,0.396,84,0.411,9.2,2799,763,2020,0.273,4734,0.591,463,0.655,6.6,3670,1216,2436,0.331,6739,0.545,547,0.593,7.2,2024-25,Rebounding
1610612753,ORL,Orlando Magic,82,41,41,18613.0,914,510,401,0.558,2136,0.428,76,0.444,7.8,2517,612,1894,0.243,4157,0.605,423,0.674,6.5,3431,1122,2295,0.327,6122,0.56,499,0.61,6.9,2024-25,Rebounding
1610612755,PHI,Philadelphia 76ers,82,24,58,18795.0,852,482,371,0.566,1985,0.429,59,0.442,7.8,2410,572,1827,0.237,4172,0.578,386,0.637,6.5,3262,1054,2198,0.323,5982,0.545,445,0.589,6.9,2024-25,Rebounding
1610612756,PHX,Phoenix Suns,82,36,46,18955.0,783,383,399,0.489,1812,0.432,53,0.445,8.9,2701,658,2031,0.244,4368,0.618,381,0.677,6.6,3484,1041,2430,0.299,6015,0.579,434,0.624,7.1,2024-25,Rebounding
1610612757,POR,Portland Trail Blazers,82,36,46,19117.0,1095,647,442,0.591,2482,0.441,91,0.458,7.2,2575,616,1941,0.239,4353,0.592,387,0.649,6.5,3670,1263,2383,0.344,6659,0.551,478,0.594,6.7,2024-25,Rebounding
1610612758,SAC,Sacramento Kings,82,40,42,18806.0,901,510,390,0.566,2048,0.44,63,0.454,7.7,2723,647,2066,0.238,4358,0.625,427,0.693,6.2,3624,1157,2456,0.319,6224,0.582,490,0.632,6.6,2024-25,Rebounding
1610612759,SAS,San Antonio Spurs,82,34,48,18693.0,896,484,406,0.54,1923,0.466,59,0.481,8.4,2685,677,1999,0.252,4489,0.598,465,0.667,6.4,3581,1161,2405,0.324,6260,0.572,524,0.624,6.9,2024-25,Rebounding
1610612761,TOR,Toronto Raptors,82,30,52,18705.0,1034,581,450,0.562,2363,0.438,83,0.454,7.7,2665,606,2048,0.227,4408,0.605,414,0.667,6.7,3699,1187,2498,0.321,6560,0.564,497,0.61,7.0,2024-25,Rebounding
1610612762,UTA,Utah Jazz,82,17,65,19043.0,982,566,416,0.576,2265,0.434,56,0.445,7.9,2741,630,2096,0.23,4540,0.604,448,0.67,6.6,3723,1196,2512,0.321,6605,0.564,504,0.61,6.9,2024-25,Rebounding
1610612764,WAS,Washington Wizards,82,18,64,19072.0,867,500,363,0.577,2008,0.432,49,0.443,7.6,2716,641,2065,0.236,4537,0.599,426,0.661,6.4,3583,1141,2428,0.318,6382,0.561,475,0.607,6.7,2024-25,Rebounding
