TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612752,New York Knicks,52,36,16,0.692,187.74166666666667,125,271,0.461,22,57,0.386,174,219,0.795,51,136,187,78,70.0,19,21,14,121,1,446,84.0,1,1,7,3,11,7,15,2,12,18,1,1,1,6,13,1,4,5,29,23,11,7,18,3,1,2,1996-97
1610612753,Orlando Magic,45,27,18,0.6,193.585,112,284,0.394,27,97,0.278,132,179,0.737,52,136,188,57,62.0,25,19,21,127,0,383,41.0,10,5,10,9,8,14,10,17,6,4,24,8,9,20,11,1,3,19,27,14,17,20,22,15,10,4,1996-97
1610612755,Philadelphia 76ers,38,13,25,0.342,139.83833333333334,77,198,0.389,12,41,0.293,104,146,0.712,43,86,129,41,44.0,18,10,15,97,0,270,-56.0,22,24,21,26,26,25,25,21,27,28,19,23,20,23,20,22,23,24,10,27,28,8,9,15,25,25,1996-97
1610612756,Phoenix Suns,43,21,22,0.488,185.89166666666668,136,320,0.425,28,89,0.315,123,163,0.755,63,108,171,71,51.0,24,20,19,126,1,423,18.0,15,13,16,16,12,2,4,7,3,5,16,14,15,14,1,14,10,7,16,16,14,17,21,3,4,11,1996-97
1610612757,Portland Trail Blazers,46,24,22,0.522,208.435,128,323,0.396,17,78,0.218,161,215,0.749,59,130,189,67,59.0,19,24,29,136,1,434,-9.0,7,9,16,13,2,6,3,16,18,9,29,2,2,17,4,4,2,9,25,23,9,25,24,3,3,16,1996-97
1610612758,Sacramento Kings,41,21,20,0.512,175.66066666666666,112,266,0.421,19,54,0.352,118,145,0.814,45,122,167,61,53.0,20,20,22,102,1,361,34.8,19,13,14,14,17,14,16,8,16,19,3,18,21,2,18,6,11,15,18,20,14,21,12,3,17,7,1996-97
1610612759,San Antonio Spurs,33,12,21,0.364,108.165,65,168,0.387,16,48,0.333,64,90,0.711,30,53,83,37,23.0,17,12,11,72,0,210,-52.0,27,25,15,25,29,28,28,22,20,24,7,29,29,24,28,29,29,29,2,29,24,3,1,15,29,24,1996-97
1610612760,Seattle SuperSonics,37,21,16,0.568,146.79666666666665,81,198,0.409,19,58,0.328,117,156,0.75,31,78,109,43,51.0,31,13,12,90,1,298,19.0,24,13,7,12,23,24,25,13,16,17,10,19,18,15,26,26,26,21,16,8,22,5,7,3,23,10,1996-97
1610612761,Toronto Raptors,48,19,29,0.396,207.23333333333332,116,304,0.382,24,85,0.282,127,170,0.747,59,121,180,67,58.0,37,27,35,125,0,383,-60.0,3,20,26,23,3,10,7,23,7,7,22,11,12,18,4,7,6,9,24,2,2,28,19,15,10,26,1996-97
1610612762,Utah Jazz,40,26,14,0.65,181.01333333333332,117,282,0.415,21,64,0.328,126,165,0.764,44,104,148,88,29.0,33,12,16,125,1,381,7.0,20,7,3,5,14,9,12,9,15,14,9,12,13,11,19,16,17,2,4,6,24,11,19,3,12,14,1996-97
